id,question,start_date,end_date,volume,liquidity,outcomes_summary,closed
553113,"Brewers vs. Cubs",2025-06-17T08:02:15.905978Z,2025-06-26T00:05:00Z,26790.583227,1878.8339,"Brewers: 49.5% | Cubs: 50.5%",false
552006,"Will Adrienne Adams finish third in the 2025 New York City Mayoral Democratic Primary?",2025-06-12T21:24:21.427774Z,2025-06-24T00:00:00Z,26617.727208,11454.65353,"Yes: 0.1% | No: 100.0%",false
540476,"Will US GDP growth in Q2 2025 be between -1% and -2%?",2025-04-30T20:18:51.655713Z,2025-06-30T12:00:00Z,250805.363719,9244.49404,"Yes: 0.4% | No: 99.7%",false
540474,"Will US GDP growth in Q2 2025 be between 1% and 0%?",2025-04-30T20:18:51.661754Z,2025-06-30T12:00:00Z,246874.663794,21133.68689,"Yes: 2.0% | No: 98.0%",false
540477,"Will US GDP growth in Q2 2025 be less than 2%?",2025-04-30T20:18:51.664503Z,2025-06-30T12:00:00Z,243303.196974,14988.95357,"Yes: 0.3% | No: 99.8%",false
552014,"Will Zohran Mamdani finish third in the 2025 New York City Mayoral Democratic Primary?",2025-06-12T21:24:31.175795Z,2025-06-24T00:00:00Z,23785.990606,20503.43581,"Yes: 0.2% | No: 99.8%",false
552054,"Will Zohran Mamdani’s RCV margin of victory be between 6% and 9% in the New York City Mayoral Democratic Primary?",2025-06-12T22:55:12.639348Z,2025-06-24T00:00:00Z,232418.676204,19194.37154,"Yes: 0.1% | No: 100.0%",false
554574,"Will Brad Lander’s vote share be between 9% and 12% in the first round of the NYC Democratic mayoral primary?",2025-06-20T22:45:34.001428Z,2025-06-24T00:00:00Z,23180.282056,1669.6438,"Yes: 100.0% | No: 0.1%",false
548302,"Tesla launches unsupervised full self driving (FSD) by December 31?",2025-05-29T21:54:51.386Z,2025-06-30T12:00:00Z,229539.607669,7680.612,"Yes: 27.5% | No: 72.5%",false
552991,"Will Andrew Cuomo win Staten Island in the New York City Mayoral Democratic Primary?",2025-06-16T18:52:12.006207Z,2025-06-24T00:00:00Z,21754.167848,3444.1624,"Yes: 99.7% | No: 0.4%",false
554534,"Will Andrew Cuomo's first round margin of victory be between 5% and 10%?",2025-06-20T22:48:40.331963Z,2025-06-24T00:00:00Z,21529.066082,4725.6651,"Yes: 0.1% | No: 99.9%",false
552990,"Will Andrew Cuomo win Queens in the New York City Mayoral Democratic Primary?",2025-06-16T18:52:05.511038Z,2025-06-24T00:00:00Z,20918.456866,5122.57927,"Yes: 0.3% | No: 99.7%",false
540473,"Will US GDP growth in Q2 2025 be between 2% and 1%?",2025-04-30T20:18:31.400434Z,2025-06-30T12:00:00Z,201838.569612,7267.0145,"Yes: 17.5% | No: 82.5%",false
544929,"Will the NYC Mayoral Democratic Primary be decided in round 4?",2025-05-16T14:44:44.892548Z,2025-06-24T12:00:00Z,196091.055307,6226.43193,"Yes: 0.1% | No: 99.9%",false
554533,"Will Andrew Cuomo's first round margin of victory be less than 5%?",2025-06-20T22:48:39.824905Z,2025-06-24T00:00:00Z,19254.952292,7158.15892,"Yes: 99.9% | No: 0.1%",false
552988,"Will Andrew Cuomo win Brooklyn in the New York City Mayoral Democratic Primary?",2025-06-16T18:52:11.499174Z,2025-06-24T00:00:00Z,17558.279844,4971.945,"Yes: 0.3% | No: 99.8%",false
552987,"Will Andrew Cuomo win The Bronx in the New York City Mayoral Democratic Primary?",2025-06-16T18:52:15.554477Z,2025-06-24T00:00:00Z,16444.193945,5871.66943,"Yes: 99.6% | No: 0.4%",false
554535,"Will Andrew Cuomo's first round margin of victory be between 10% and 15%?",2025-06-20T22:48:40.078153Z,2025-06-24T00:00:00Z,16376.972546,12341.17527,"Yes: 0.1% | No: 99.9%",false
544935,"Will the NYC Mayoral Democratic Primary be decided in round 10?",2025-05-16T14:44:48.208005Z,2025-06-24T12:00:00Z,163182.387859,25672.57628,"Yes: 0.1% | No: 100.0%",false
554575,"Will Brad Lander’s vote share be between 12% and 15% in the first round of the NYC Democratic mayoral primary?",2025-06-20T22:45:38.984652Z,2025-06-24T00:00:00Z,15836.356804,2566.7055,"Yes: 0.1% | No: 100.0%",false
